2022-07-06 16:28:30,246 INFO    MainThread:102293 [wandb_watch.py:watch():47] Watching
2022-07-06 16:28:40,039 INFO    MainThread:102293 [wandb_watch.py:watch():47] Watching
2022-07-06 16:28:49,828 INFO    MainThread:102293 [wandb_watch.py:watch():47] Watching
2022-07-06 16:28:59,639 INFO    MainThread:102293 [wandb_watch.py:watch():47] Watching
2022-07-06 16:29:09,410 INFO    MainThread:102293 [wandb_watch.py:watch():47] Watching
2022-07-06 16:29:19,208 INFO    MainThread:102293 [wandb_watch.py:watch():47] Watching
2022-07-06 16:29:29,015 INFO    MainThread:102293 [wandb_watch.py:watch():47] Watching
2022-07-06 16:29:38,797 INFO    MainThread:102293 [wandb_watch.py:watch():47] Watching
2022-07-06 16:29:48,599 INFO    MainThread:102293 [wandb_watch.py:watch():47] Watching
2022-07-06 16:29:58,378 INFO    MainThread:102293 [wandb_watch.py:watch():47] Watching
2022-07-06 16:30:08,207 INFO    MainThread:102293 [wandb_watch.py:watch():47] Watching
2022-07-06 16:30:17,969 INFO    MainThread:102293 [wandb_watch.py:watch():47] Watching
2022-07-06 16:30:27,753 INFO    MainThread:102293 [wandb_watch.py:watch():47] Watching
2022-07-06 16:30:37,557 INFO    MainThread:102293 [wandb_watch.py:watch():47] Watching
2022-07-06 16:30:47,342 INFO    MainThread:102293 [wandb_watch.py:watch():47] Watching
2022-07-06 16:30:57,175 INFO    MainThread:102293 [wandb_watch.py:watch():47] Watching
2022-07-06 16:31:06,960 INFO    MainThread:102293 [wandb_watch.py:watch():47] Watching
2022-07-06 16:31:16,772 INFO    MainThread:102293 [wandb_watch.py:watch():47] Watching
2022-07-06 16:31:26,566 INFO    MainThread:102293 [wandb_watch.py:watch():47] Watching
2022-07-06 16:31:36,369 INFO    MainThread:102293 [wandb_watch.py:watch():47] Watching
2022-07-06 16:31:46,188 INFO    MainThread:102293 [wandb_watch.py:watch():47] Watching
2022-07-06 16:31:56,008 INFO    MainThread:102293 [wandb_watch.py:watch():47] Watching
2022-07-06 16:32:05,811 INFO    MainThread:102293 [wandb_watch.py:watch():47] Watching
2022-07-06 16:32:15,621 INFO    MainThread:102293 [wandb_watch.py:watch():47] Watching
2022-07-06 16:32:25,407 INFO    MainThread:102293 [wandb_watch.py:watch():47] Watching
2022-07-06 16:32:35,192 INFO    MainThread:102293 [wandb_watch.py:watch():47] Watching
2022-07-06 16:32:44,976 INFO    MainThread:102293 [wandb_watch.py:watch():47] Watching
2022-07-06 16:32:54,783 INFO    MainThread:102293 [wandb_watch.py:watch():47] Watching
2022-07-06 16:33:04,585 INFO    MainThread:102293 [wandb_watch.py:watch():47] Watching
2022-07-06 16:33:14,414 INFO    MainThread:102293 [wandb_watch.py:watch():47] Watching
2022-07-06 16:33:24,205 INFO    MainThread:102293 [wandb_watch.py:watch():47] Watching
2022-07-06 16:33:33,991 INFO    MainThread:102293 [wandb_watch.py:watch():47] Watching
2022-07-06 16:33:43,795 INFO    MainThread:102293 [wandb_watch.py:watch():47] Watching
2022-07-06 16:33:53,576 INFO    MainThread:102293 [wandb_watch.py:watch():47] Watching
2022-07-06 16:34:03,368 INFO    MainThread:102293 [wandb_watch.py:watch():47] Watching
2022-07-06 16:34:13,152 INFO    MainThread:102293 [wandb_watch.py:watch():47] Watching
2022-07-06 16:34:22,943 INFO    MainThread:102293 [wandb_watch.py:watch():47] Watching
2022-07-06 16:34:32,753 INFO    MainThread:102293 [wandb_watch.py:watch():47] Watching
2022-07-06 16:34:42,663 INFO    MainThread:102293 [wandb_watch.py:watch():47] Watching
2022-07-06 16:34:52,461 INFO    MainThread:102293 [wandb_watch.py:watch():47] Watching
2022-07-06 16:35:02,269 INFO    MainThread:102293 [wandb_watch.py:watch():47] Watching
2022-07-06 16:35:12,059 INFO    MainThread:102293 [wandb_watch.py:watch():47] Watching
2022-07-06 16:35:21,866 INFO    MainThread:102293 [wandb_watch.py:watch():47] Watching
2022-07-06 16:35:31,705 INFO    MainThread:102293 [wandb_watch.py:watch():47] Watching
2022-07-06 16:35:41,534 INFO    MainThread:102293 [wandb_watch.py:watch():47] Watching
2022-07-06 16:35:51,394 INFO    MainThread:102293 [wandb_watch.py:watch():47] Watching
2022-07-06 16:36:01,211 INFO    MainThread:102293 [wandb_watch.py:watch():47] Watching
